"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2315","44123",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2316","44125",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2317","44141",39153,153,"Ohio","OH",39,"Summit County"
"2318","44056",39153,153,"Ohio","OH",39,"Summit County"
"2319","43915",39111,111,"Ohio","OH",39,"Monroe County"
"2320","43015",39041,41,"Ohio","OH",39,"Delaware County"
"2321","43035",39041,41,"Ohio","OH",39,"Delaware County"
"2322","43009",39021,21,"Ohio","OH",39,"Champaign County"
"2323","44720",39151,151,"Ohio","OH",39,"Stark County"
"2324","44847",39043,43,"Ohio","OH",39,"Erie County"
"2325","44710",39151,151,"Ohio","OH",39,"Stark County"
"2326","44904",39117,117,"Ohio","OH",39,"Morrow County"
"2327","44882",39175,175,"Ohio","OH",39,"Wyandot County"
"2328","44817",39173,173,"Ohio","OH",39,"Wood County"
"2329","44230",39169,169,"Ohio","OH",39,"Wayne County"
"2330","44319",39153,153,"Ohio","OH",39,"Summit County"
"2331","44403",39155,155,"Ohio","OH",39,"Trumbull County"
"2332","44404",39155,155,"Ohio","OH",39,"Trumbull County"
"2333","44255",39133,133,"Ohio","OH",39,"Portage County"
"2334","44405",39099,99,"Ohio","OH",39,"Mahoning County"
"2335","44333",39153,153,"Ohio","OH",39,"Summit County"
"2336","44215",39103,103,"Ohio","OH",39,"Medina County"
"2337","45360",39149,149,"Ohio","OH",39,"Shelby County"
"2338","45243",39061,61,"Ohio","OH",39,"Hamilton County"
"2339","45251",39061,61,"Ohio","OH",39,"Hamilton County"
"2340","45390",39037,37,"Ohio","OH",39,"Darke County"
"2341","45303",39037,37,"Ohio","OH",39,"Darke County"
"2342","45262",39061,61,"Ohio","OH",39,"Hamilton County"
"2343","45370",39057,57,"Ohio","OH",39,"Greene County"
"2344","45387",39057,57,"Ohio","OH",39,"Greene County"
"2345","45693",39001,1,"Ohio","OH",39,"Adams County"
"2346","45769",39105,105,"Ohio","OH",39,"Meigs County"
"2347","45789",39167,167,"Ohio","OH",39,"Washington County"
"2348","45654",39073,73,"Ohio","OH",39,"Hocking County"
"2349","43230",39049,49,"Ohio","OH",39,"Franklin County"
"2350","43302",39101,101,"Ohio","OH",39,"Marion County"
"2351","43701",39119,119,"Ohio","OH",39,"Muskingum County"
"2352","43224",39049,49,"Ohio","OH",39,"Franklin County"
"2353","43340",39065,65,"Ohio","OH",39,"Hardin County"
"2354","43333",39091,91,"Ohio","OH",39,"Logan County"
"2355","43728",39115,115,"Ohio","OH",39,"Morgan County"
"2356","43360",39091,91,"Ohio","OH",39,"Logan County"
"2357","45039",39165,165,"Ohio","OH",39,"Warren County"
"2358","45044",39017,17,"Ohio","OH",39,"Butler County"
"2359","45011",39017,17,"Ohio","OH",39,"Butler County"
"2360","45053",39017,17,"Ohio","OH",39,"Butler County"
"2361","45121",39025,25,"Ohio","OH",39,"Clermont County"
"2362","45106",39025,25,"Ohio","OH",39,"Clermont County"
"2363","43080",39089,89,"Ohio","OH",39,"Licking County"
"2364","43085",39049,49,"Ohio","OH",39,"Franklin County"
"2365","43137",39049,49,"Ohio","OH",39,"Franklin County"
"2366","45434",39057,57,"Ohio","OH",39,"Greene County"
"2367","45503",39023,23,"Ohio","OH",39,"Clark County"
"2368","45404",39113,113,"Ohio","OH",39,"Montgomery County"
"2369","45415",39113,113,"Ohio","OH",39,"Montgomery County"
"2370","45439",39113,113,"Ohio","OH",39,"Montgomery County"
"2371","45406",39113,113,"Ohio","OH",39,"Montgomery County"
"2372","45638",39087,87,"Ohio","OH",39,"Lawrence County"
"2373","45623",39053,53,"Ohio","OH",39,"Gallia County"
"2374","45505",39023,23,"Ohio","OH",39,"Clark County"
"2375","45490",39113,113,"Ohio","OH",39,"Montgomery County"
"2376","45216",39061,61,"Ohio","OH",39,"Hamilton County"
"2377","45157",39025,25,"Ohio","OH",39,"Clermont County"
"2378","45240",39061,61,"Ohio","OH",39,"Hamilton County"
"2379","45146",39027,27,"Ohio","OH",39,"Clinton County"
"2380","45148",39015,15,"Ohio","OH",39,"Brown County"
"2381","44210",39153,153,"Ohio","OH",39,"Summit County"
"2382","43976",39067,67,"Ohio","OH",39,"Harrison County"
"2383","44040",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2384","45319",39023,23,"Ohio","OH",39,"Clark County"
"2385","45033",39061,61,"Ohio","OH",39,"Hamilton County"
"2386","45413",39113,113,"Ohio","OH",39,"Montgomery County"
"2387","45634",39163,163,"Ohio","OH",39,"Vinton County"
"2388","45630",39145,145,"Ohio","OH",39,"Scioto County"
"2389","43432",39123,123,"Ohio","OH",39,"Ottawa County"
"2390","44181",39035,35,"Ohio","OH",39,"Cuyahoga County"
"2391","45743",39105,105,"Ohio","OH",39,"Meigs County"
"2392","43842",39119,119,"Ohio","OH",39,"Muskingum County"
"2393","44443",39029,29,"Ohio","OH",39,"Columbiana County"
"2394","45861",39125,125,"Ohio","OH",39,"Paulding County"
"2395","43661",39095,95,"Ohio","OH",39,"Lucas County"
"2396","43030",39089,89,"Ohio","OH",39,"Licking County"
"2397","43151",39097,97,"Ohio","OH",39,"Madison County"
"2398","44253",39093,93,"Ohio","OH",39,"Lorain County"
"2399","45809",39003,3,"Ohio","OH",39,"Allen County"
"2400","44848",39005,5,"Ohio","OH",39,"Ashland County"
"2401","44691",39005,5,"Ohio","OH",39,"Ashland County"
"2402","45369",39097,97,"Ohio","OH",39,"Madison County"
"2403","44809",39147,147,"Ohio","OH",39,"Seneca County"
"2404","45013",39061,61,"Ohio","OH",39,"Hamilton County"
"2405","44861",39147,147,"Ohio","OH",39,"Seneca County"
"2406","43084",39159,159,"Ohio","OH",39,"Union County"
"2407","45378",39113,113,"Ohio","OH",39,"Montgomery County"
"2408","43103",39045,45,"Ohio","OH",39,"Fairfield County"
"2409","44860",39033,33,"Ohio","OH",39,"Crawford County"
"2410","45869",39107,107,"Ohio","OH",39,"Mercer County"
"2411","43113",39045,45,"Ohio","OH",39,"Fairfield County"
"2412","43914",39111,111,"Ohio","OH",39,"Monroe County"
"2413","45866",39107,107,"Ohio","OH",39,"Mercer County"
"2414","45004",39017,17,"Ohio","OH",39,"Butler County"
"2415","44636",39169,169,"Ohio","OH",39,"Wayne County"
"2416","45056",39135,135,"Ohio","OH",39,"Preble County"
"2417","45389",39021,21,"Ohio","OH",39,"Champaign County"
"2418","43666",39095,95,"Ohio","OH",39,"Lucas County"
"2419","45310",39107,107,"Ohio","OH",39,"Mercer County"
"2420","45307",39057,57,"Ohio","OH",39,"Greene County"
"2421","43967",39013,13,"Ohio","OH",39,"Belmont County"
"2422","44828",39147,147,"Ohio","OH",39,"Seneca County"
"2423","43439",39123,123,"Ohio","OH",39,"Ottawa County"
"2424","43217",39129,129,"Ohio","OH",39,"Pickaway County"
"2425","44881",39033,33,"Ohio","OH",39,"Crawford County"
"2426","43349",39117,117,"Ohio","OH",39,"Morrow County"
"2427","44670",39151,151,"Ohio","OH",39,"Stark County"
"2428","44856",39033,33,"Ohio","OH",39,"Crawford County"
"2429","45063",39017,17,"Ohio","OH",39,"Butler County"
"2430","43346",39065,65,"Ohio","OH",39,"Hardin County"
"2431","43531",39171,171,"Ohio","OH",39,"Williams County"
"2432","45893",39137,137,"Ohio","OH",39,"Putnam County"
"2433","43456",39123,123,"Ohio","OH",39,"Ottawa County"
"2434","43533",39051,51,"Ohio","OH",39,"Fulton County"
"2435","43609",39095,95,"Ohio","OH",39,"Lucas County"
